timestamp,power_in_watts,sm_clock
1736806552.1217213, 24.014, 2520
1736806552.2876396, 25.275, 2520
1736806552.3601706, 26.97, 2520
1736806552.431912, 26.97, 2520
1736806552.4391217, 26.97, 2520
1736806552.4412348, 26.97, 2520
1736806552.4433975, 26.97, 2520
1736806552.4454644, 26.97, 2520
1736806552.4475305, 30.649, 2520
1736806552.4495955, 30.649, 2520
1736806552.4516199, 30.649, 2520
1736806552.4536781, 30.649, 2520
1736806552.4557414, 30.649, 2520
1736806552.4578092, 30.649, 2520
1736806552.4598784, 30.649, 2520
1736806552.4619434, 30.649, 2520
1736806552.4640079, 30.649, 2520
1736806552.4660716, 30.649, 2520
1736806552.4681385, 30.649, 2520
1736806552.470204, 30.649, 2520
1736806552.4722908, 30.649, 2520
1736806552.4744327, 30.649, 2520
1736806552.4765122, 30.649, 2520
1736806552.4785862, 30.649, 2520
1736806552.4806695, 30.649, 2520
1736806552.4827461, 30.649, 2520
1736806552.4848218, 30.649, 2520
1736806552.4868996, 30.649, 2520
1736806552.4889815, 30.649, 2520
1736806552.4910612, 30.649, 2520
1736806552.4931579, 30.649, 2520
1736806552.4952378, 30.649, 2520
1736806552.4973276, 30.649, 2520
1736806552.4994082, 30.649, 2520
1736806552.501488, 30.649, 2520
1736806552.5035684, 30.649, 2520
1736806552.5056489, 30.649, 2520
1736806552.5077262, 30.649, 2520
1736806552.5097997, 30.649, 2520
1736806552.5118732, 30.649, 2520
1736806552.513959, 30.649, 2520
1736806552.51604, 30.649, 2520
1736806552.5181167, 30.649, 2520
1736806552.520192, 30.649, 2520
1736806552.522268, 30.649, 2520
1736806552.5243464, 30.649, 2520
1736806552.5264223, 30.649, 2520
1736806552.5284975, 30.649, 2520
1736806552.5305734, 30.649, 2520
1736806552.532649, 30.649, 2520
1736806552.534985, 30.649, 2520
1736806552.5373263, 30.649, 2520
1736806552.53944, 30.649, 2520
1736806552.5415385, 30.649, 2520
1736806552.5436246, 30.649, 2520
1736806552.5457046, 30.649, 2520
1736806552.5477834, 33.036, 2520
1736806552.549861, 33.036, 2520
1736806552.5519388, 33.036, 2520
1736806552.5540218, 33.036, 2520
1736806552.5561166, 33.036, 2520
1736806552.558203, 33.036, 2520
1736806552.5602973, 33.036, 2520
1736806552.562394, 33.036, 2520
1736806552.5645385, 33.036, 2520
1736806552.5666368, 33.036, 2520
1736806552.5687346, 33.036, 2520
1736806552.5708325, 33.036, 2520
1736806552.5729282, 33.036, 2520
1736806552.5749805, 33.036, 2520
1736806552.5770702, 33.036, 2520
1736806552.579158, 33.036, 2520
1736806552.5812426, 33.036, 2520
1736806552.5833251, 33.036, 2520
1736806552.5854065, 33.036, 2520
1736806552.5874875, 33.036, 2520
1736806552.5895712, 33.036, 2520
1736806552.591652, 33.036, 2520
1736806552.5937355, 33.036, 2520
1736806552.5958135, 33.036, 2520
1736806552.5978901, 33.036, 2520
1736806552.5999706, 33.036, 2520
1736806552.6020484, 33.036, 2520
1736806552.6041262, 33.036, 2520
1736806552.606202, 33.036, 2520
1736806552.6082773, 33.036, 2520
1736806552.6103516, 33.036, 2520
1736806552.6124363, 33.036, 2520
1736806552.6145368, 33.036, 2520
1736806552.6166186, 33.036, 2520
1736806552.6186976, 33.036, 2520
1736806552.6207788, 33.036, 2520
1736806552.6228588, 33.036, 2520
1736806552.6249392, 33.036, 2520
1736806552.6270185, 33.036, 2520
1736806552.629099, 33.036, 2520
1736806552.631176, 33.036, 2520
1736806552.633253, 33.036, 2520
1736806552.6353319, 33.036, 2520
1736806552.637409, 33.036, 2520
1736806552.6394887, 33.036, 2520
1736806552.6415665, 33.036, 2520
1736806552.64365, 33.036, 2520
1736806552.6457326, 33.036, 2520
1736806552.6478148, 35.099, 2520
1736806552.6498933, 35.099, 2520
1736806552.6519709, 35.099, 2520
1736806552.6540635, 35.099, 2520
1736806552.6561453, 35.099, 2520
1736806552.6582334, 35.099, 2520
1736806552.6603146, 35.099, 2520
1736806552.6623955, 35.099, 2520
1736806552.6644788, 35.099, 2520
1736806552.666566, 35.099, 2520
1736806552.6686509, 35.099, 2520
1736806552.6707296, 35.099, 2520
1736806552.6728067, 35.099, 2520
1736806552.6748867, 35.099, 2520
1736806552.676978, 35.099, 2520
1736806552.6790588, 35.099, 2520
1736806552.681148, 35.099, 2520
1736806552.6832256, 35.099, 2520
1736806552.6853087, 35.099, 2520
1736806552.6873887, 35.099, 2520
1736806552.6894639, 35.099, 2520
1736806552.69154, 35.099, 2520
1736806552.693615, 35.099, 2520
1736806552.6956933, 35.099, 2520
1736806552.6977744, 35.099, 2520
1736806552.6998596, 35.099, 2520
1736806552.7019613, 35.099, 2520
1736806552.7040417, 35.099, 2520
1736806552.7061222, 35.099, 2520
1736806552.708203, 35.099, 2520
1736806552.7102878, 35.099, 2520
1736806552.712367, 35.099, 2520
1736806552.714444, 35.099, 2520
1736806552.716526, 35.099, 2520
1736806552.718607, 35.099, 2520
1736806552.7206874, 35.099, 2520
1736806552.7227628, 35.099, 2520
1736806552.7248397, 35.099, 2520
1736806552.7269447, 35.099, 2520
1736806552.729026, 35.099, 2520
1736806552.7310836, 35.099, 2520
1736806552.7332857, 35.099, 2520
1736806552.735379, 35.099, 2520
1736806552.7374635, 35.099, 2520
1736806552.740247, 35.099, 2520
1736806552.7423434, 35.099, 2520
1736806552.74443, 35.099, 2520
1736806552.7465112, 36.862, 2520
1736806552.7485967, 36.862, 2520
1736806552.7506752, 36.862, 2520
1736806552.7527566, 36.862, 2520
1736806552.7548347, 36.862, 2520
1736806552.7569168, 36.862, 2520
1736806552.7589943, 36.862, 2520
1736806552.761071, 36.862, 2520
1736806552.76315, 36.862, 2520
1736806552.7652318, 36.862, 2520
1736806552.767314, 36.862, 2520
1736806552.7693946, 36.862, 2520
1736806552.7714748, 36.862, 2520
1736806552.773557, 36.862, 2520
1736806552.7756383, 36.862, 2520
1736806552.7777169, 36.862, 2520
1736806552.7798011, 36.862, 2520
1736806552.7818818, 36.862, 2520
1736806552.7839577, 36.862, 2520
1736806552.7860343, 36.862, 2520
1736806552.7881138, 36.862, 2520
1736806552.7901945, 36.862, 2520
1736806552.7922714, 36.862, 2520
1736806552.794349, 36.862, 2520
1736806552.7964296, 36.862, 2520
1736806552.7985075, 36.862, 2520
1736806552.800589, 36.862, 2520
1736806552.80267, 36.862, 2520
1736806552.8047495, 36.862, 2520
1736806552.8068295, 36.862, 2520
1736806552.8089075, 36.862, 2520
1736806552.8109872, 36.862, 2520
1736806552.8130643, 36.862, 2520
1736806552.815141, 36.862, 2520
1736806552.817218, 36.862, 2520
1736806552.819295, 36.862, 2520
1736806552.8213809, 36.862, 2520
1736806552.8234634, 36.862, 2520
1736806552.8256297, 36.862, 2520
1736806552.827727, 36.862, 2520
1736806552.8298094, 36.862, 2520
1736806552.8318853, 36.862, 2520
1736806552.8339622, 36.862, 2520
1736806552.8360424, 36.862, 2520
1736806552.838141, 36.862, 2520
1736806552.8402238, 36.862, 2520
1736806552.8423035, 36.862, 2520
1736806552.8443844, 36.862, 2520
1736806552.846473, 39.165, 2520
1736806552.848555, 39.165, 2520
1736806552.8506267, 39.165, 2520
