Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,0.1,0.9,0.2,0,0.1,0,0
1,1,1,0,0,-1.8,1.1,0.2,0,-1.8,0,0
1,1,2,0,0,-1.7,1.1,0.2,0,-1.7,0,0
1,1,3,0,0,-1.7,1,0.2,0,-1.7,0,0
1,1,4,0,0,-1.7,0.9,0.2,0,-1.7,0,0
1,1,5,0,0,-1.6,0.9,0.2,0,-1.6,0,0
1,1,6,0,0,-1.6,0.9,0.2,0,-1.6,0,0
1,1,7,0,0,-1.5,1,0.2,0,-1.5,0,0
1,1,8,0,0,-1,1.2,0.2,0,0,0,0
1,1,9,0,5,0.4,1.3,0.2,4.633,0.531,3.268,1.356
1,1,10,0,7,1.3,1.6,0.2,6.492,1.472,4.694,2.729
1,1,11,0,28,1.5,1.5,0.2,26.01,2.205,19.875,17.337
1,1,12,2,120,1.7,1.5,0.2,118.605,4.915,94.875,89.509
1,1,13,0,44,1.6,1.5,0.2,40.909,2.709,31.76,28.774
1,1,14,0,55,1.6,1.3,0.2,51.17,3.053,40.064,36.765
1,1,15,0,11,1.3,0.8,0.2,10.2,1.627,7.435,5.366
1,1,16,0,22,0.8,0.5,0.2,21.731,1.464,11.09,8.883
1,1,17,0,0,0.3,0.5,0.2,0,0.3,0,0
1,1,18,0,0,0,0.7,0.2,0,0,0,0
1,1,19,0,0,-0.2,0.8,0.2,0,-0.2,0,0
1,1,20,0,0,-0.4,0.9,0.2,0,-0.4,0,0
1,1,21,0,0,-0.7,1,0.2,0,-0.7,0,0
1,1,22,0,0,-1,1,0.2,0,-1,0,0
1,1,23,0,0,-1.1,1.1,0.2,0,-1.1,0,0
1,2,0,0,0,-0.9,1.1,0.2,0,-0.9,0,0
1,2,1,0,0,-0.6,1.1,0.2,0,-0.6,0,0
1,2,2,0,0,-0.6,1.2,0.2,0,-0.6,0,0
1,2,3,0,0,-0.5,1.3,0.2,0,-0.5,0,0
1,2,4,0,0,-0.1,1.4,0.2,0,-0.1,0,0
1,2,5,0,0,0.3,1.5,0.2,0,0.3,0,0
1,2,6,0,0,0.6,1.6,0.2,0,0.6,0,0
1,2,7,0,0,0.9,1.9,0.2,0,0.9,0,0
1,2,8,0,0,1.1,2.2,0.2,0,0,0,0
1,2,9,4,64,1.7,2.7,0.2,65.964,3.103,51.387,47.661
1,2,10,0,41,2.3,3.1,0.2,38.111,3.06,29.493,26.592
1,2,11,0,68,2.8,2.9,0.2,63.304,4.105,49.706,46.043
1,2,12,0,66,3.2,2.6,0.2,61.434,4.535,48.044,44.444
1,2,13,7,143,3.1,2.3,0.2,148.535,6.513,119.144,112.863
1,2,14,1,77,2.8,1.7,0.2,74.03,4.721,58.402,54.411
1,2,15,0,42,2.4,1.3,0.2,39.063,3.506,29.887,26.972
1,2,16,0,22,2.2,1.1,0.2,21.593,2.762,10.953,8.752
1,2,17,0,0,2.2,1,0.2,0,2.2,0,0
1,2,18,0,0,2.2,1,0.2,0,2.2,0,0
1,2,19,0,0,2.3,1,0.2,0,2.3,0,0
1,2,20,0,0,2.5,1.1,0.2,0,2.5,0,0
1,2,21,0,0,2.7,1.1,0.2,0,2.7,0,0
1,2,22,0,0,2.8,1.1,0.2,0,2.8,0,0
1,2,23,0,0,3,1.2,0.2,0,3,0,0
1,3,0,0,0,3,1.2,0.2,0,3,0,0
1,3,1,0,0,2.7,1.3,0.2,0,2.7,0,0
1,3,2,0,0,2.3,1.4,0.2,0,2.3,0,0
1,3,3,0,0,2,1.7,0.2,0,2,0,0
1,3,4,0,0,1.8,1.8,0.2,0,1.8,0,0
1,3,5,0,0,1.7,1.6,0.2,0,1.7,0,0
1,3,6,0,0,1.6,1.3,0.2,0,1.6,0,0
1,3,7,0,0,1.5,1.1,0.2,0,1.5,0,0
1,3,8,0,0,1.6,0.9,0.2,0,0,0,0
1,3,9,0,37,2,1.1,0.2,34.401,3.021,26.145,23.37
1,3,10,2,76,2.4,1.4,0.2,73.749,4.446,58.24,54.255
1,3,11,0,19,2.7,1.5,0.2,17.641,3.178,13.207,10.921
1,3,12,0,34,2.9,1.5,0.2,31.597,3.756,24.146,21.447
1,3,13,1,172,3,1.6,0.2,178.787,7.741,143.455,136.257
1,3,14,0,67,3.1,1.5,0.2,62.941,4.807,49.325,45.677
1,3,15,0,26,2.8,1.3,0.2,24.144,3.484,18.127,15.655
1,3,16,0,7,2.3,1.1,0.2,6.489,2.469,3.125,1.219
1,3,17,0,0,2,1.1,0.2,0,2,0,0
1,3,18,0,0,1.9,1.2,0.2,0,1.9,0,0
1,3,19,0,0,2,1.2,0.2,0,2,0,0
1,3,20,0,0,2.1,1.2,0.2,0,2.1,0,0
1,3,21,0,0,2.1,1.2,0.2,0,2.1,0,0
1,3,22,0,0,2.2,1.2,0.2,0,2.2,0,0
1,3,23,0,0,2.2,1.3,0.2,0,2.2,0,0
1,4,0,0,0,2.2,1.3,0.2,0,2.2,0,0
1,4,1,0,0,2.2,1.3,0.2,0,2.2,0,0
1,4,2,0,0,2,1.4,0.2,0,2,0,0
1,4,3,0,0,1.7,1.4,0.2,0,1.7,0,0
1,4,4,0,0,1.5,1.5,0.2,0,1.5,0,0
1,4,5,0,0,1.5,1.5,0.2,0,1.5,0,0
1,4,6,0,0,1.6,1.5,0.2,0,1.6,0,0
