time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
20,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 3 is executed'],0.054,101.50%,$1.33
21,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,101.50%,$1.33
22,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$1.33
23,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
24,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
25,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
26,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
27,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
28,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
29,570.0,0.0,320.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
30,346.125,0.0,320.0,26.125,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,101.50%,$1.33
31,323.8494375,0.0,320.0,3.8494374999999934,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,101.50%,$1.33
32,0.0,0.0,0.0,0.0,5.299,0.0,5.299,0.0,105.22333333333333,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$1.33
33,0.0,0.0,0.0,0.0,2.957,0.0,2.957,0.0,107.82555555555555,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$1.33
34,63.894574224771965,0.0,63.894574224771965,0.0,5.119,0.0,5.119,0.0,34.42936197247559,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$1.33
35,95.059,0.0,95.059,0.0,4.941,0.0,4.941,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$1.33
36,87.452,0.0,87.452,0.0,12.548,0.0,12.548,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$1.33
37,313.95,0.0,313.95,0.0,6.05,0.0,6.05,0.0,0.0,0.0,320.0,['Process 14 is executed'],0.073,101.50%,$1.33
