time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
4,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
5,570.0,0.0,320.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
6,346.125,0.0,320.0,26.125,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
7,323.8494375,0.0,320.0,3.8494374999999934,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
8,95.56471712812503,0.0,95.56471712812503,0.0,0.905,0.0,0.905,0.0,248.36698096875,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
9,318.179,0.0,318.179,0.0,1.821,0.0,1.821,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.78
10,308.434,0.0,308.434,0.0,11.566,0.0,11.566,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.78
11,260.291,0.0,260.291,0.0,59.709,0.0,59.709,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.78
12,300.805,0.0,300.805,0.0,19.195,0.0,19.195,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.78
13,295.473,0.0,295.473,0.0,24.527,0.0,24.527,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
14,316.419,0.0,316.419,0.0,3.581,0.0,3.581,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.78
15,314.074,0.0,314.074,0.0,5.926,0.0,5.926,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
16,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
17,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
18,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.78
